date,currency
2000-01-01 00:00:00,33.57
2000-01-06 00:00:00,33.98
2000-01-07 00:00:00,34.42
2000-01-11 00:00:00,34.75
2000-01-12 00:00:00,35.61
2000-01-13 00:00:00,36.28
2000-01-14 00:00:00,35.99
2000-01-15 00:00:00,35.99
2000-01-18 00:00:00,35.71
2000-01-19 00:00:00,35.64
2000-01-20 00:00:00,35.75
2000-01-21 00:00:00,35.67
2000-01-22 00:00:00,35.75
2000-01-25 00:00:00,35.36
2000-01-26 00:00:00,35.69
2000-01-27 00:00:00,35.55
2000-01-28 00:00:00,35.42
2000-01-29 00:00:00,35.08
2000-02-01 00:00:00,34.6
2000-02-02 00:00:00,34.5
2000-02-03 00:00:00,34.61
2000-02-04 00:00:00,34.89
2000-02-05 00:00:00,35.18
2000-02-08 00:00:00,34.92
2000-02-09 00:00:00,34.95
2000-02-10 00:00:00,35.1
2000-02-11 00:00:00,35.21
2000-02-12 00:00:00,35.26
2000-02-15 00:00:00,35.29
2000-02-16 00:00:00,34.85
2000-02-17 00:00:00,34.81
2000-02-18 00:00:00,35.07
2000-02-19 00:00:00,34.91
2000-02-22 00:00:00,34.86
2000-02-23 00:00:00,35.09
2000-02-24 00:00:00,35.43
2000-02-25 00:00:00,35.32
2000-02-26 00:00:00,34.98
2000-02-29 00:00:00,34.13
2000-03-01 00:00:00,34.4
2000-03-02 00:00:00,34.34
2000-03-03 00:00:00,34.52
2000-03-04 00:00:00,34.19
2000-03-07 00:00:00,33.9
2000-03-08 00:00:00,33.95
2000-03-10 00:00:00,33.87
2000-03-11 00:00:00,33.92
2000-03-14 00:00:00,34.07
2000-03-15 00:00:00,33.89
2000-03-16 00:00:00,33.79
2000-03-17 00:00:00,33.79
2000-03-18 00:00:00,33.83
2000-03-21 00:00:00,33.78
2000-03-22 00:00:00,33.65
2000-03-23 00:00:00,33.44
2000-03-24 00:00:00,33.5
2000-03-25 00:00:00,33.86
2000-03-28 00:00:00,34.08
2000-03-29 00:00:00,33.82
2000-03-30 00:00:00,33.61
2000-03-31 00:00:00,33.71
2000-04-01 00:00:00,34.0
2000-04-04 00:00:00,33.94
2000-04-05 00:00:00,34.03
2000-04-06 00:00:00,34.02
2000-04-07 00:00:00,33.83
2000-04-08 00:00:00,33.77
2000-04-11 00:00:00,33.73
2000-04-12 00:00:00,33.67
2000-04-13 00:00:00,33.52
2000-04-14 00:00:00,33.5
2000-04-15 00:00:00,33.42
2000-04-18 00:00:00,33.67
2000-04-19 00:00:00,33.4
2000-04-20 00:00:00,33.12
2000-04-21 00:00:00,33.01
2000-04-22 00:00:00,32.87
2000-04-25 00:00:00,32.84
2000-04-26 00:00:00,32.88
2000-04-27 00:00:00,32.13
2000-04-28 00:00:00,32.19
2000-04-29 00:00:00,31.73
2000-05-04 00:00:00,31.82
2000-05-05 00:00:00,31.41
2000-05-06 00:00:00,31.22
2000-05-07 00:00:00,31.26
2000-05-11 00:00:00,31.45
2000-05-12 00:00:00,31.17
2000-05-13 00:00:00,31.12
