date,temperature,temperature_min,temperature_max,precipitation,snowfall,snowdepth,winddirection,windspeed,peakgust,sunshine,pressure
2020-01-01,-3.7,-5.2,-1.6,,,,140,13.7,,,987.8
2020-01-02,-2.8,-7.8,5.6,,,,117,17.4,,,974.1
2020-01-03,1.2,-1.7,4.8,,,,201,16.7,,,962.9
2020-01-04,-2.6,-5.6,0.9,,,,249,34.1,,,980.3
2020-01-05,-3.2,-4.3,-1.9,,,,222,22.2,,,999.5
2020-01-06,-1.6,-4.8,1.9,,,,,,,,995
2020-01-07,2.5,0.6,5,,,,172,14.3,,,990
2020-01-08,2.3,1.2,4.3,,,,187,20.4,,,970.5
2020-01-09,1.8,0,3.6,,,,212,29.6,,,970.9
2020-01-10,1.3,-1,2.7,,,,,,,,993.5
2020-01-12,-2.1,-3.4,1.9,,,,122,17.9,,,
2020-01-14,-3.7,-5.2,-1.3,,,,74,28.7,,,989.8
2020-01-15,-3,-3.8,-1.9,,,,70,35.3,,,986.3
2020-01-16,-4.7,-6.2,-3.8,,,,82,20.9,,,999.9
2020-01-17,-5.9,-9.2,-3.8,,,,53,14.6,,,1010.6
2020-01-18,-6.4,-8.2,-4.4,,,,133,17.7,,,1010.6
2020-01-19,-2.4,-5.3,1.4,,,,188,21.5,,,1008.9
2020-01-20,1.6,-0.4,4,,,,223,25.7,,,991.6
2020-01-21,0.2,-2.1,2.8,,,,222,31.5,,,983.1
2020-01-22,-4.3,-5.5,-2.2,,,,323,37.7,,,1004
2020-01-23,-4.4,-7.9,-1.7,,,,173,19.5,,,995.5
2020-01-24,-0.5,-3.5,1,,,,229,21.9,,,982.5
2020-01-25,-5.6,-7.5,-3,,,,78,31.4,,,994.9
2020-01-26,-7.4,-9,-6.3,,,,36,22.7,,,1008.8
2020-01-27,-10.2,-12.7,-7.3,,,,102,12.8,,,1013.8
2020-01-28,-12.1,-13.4,-10.3,,,,115,22.8,,,1010.2
2020-01-29,-9.1,-10.8,-8.1,,,,153,35.1,,,1006.2
2020-01-30,-6.4,-8.1,-4.9,,,,177,40.8,,,1003.4
2020-01-31,-6.6,-8.1,-5.2,,,,178,42.2,,,997.3
2020-02-01,-7,-7.6,-6.1,,,,178,45.2,,,982.7
2020-02-02,-3.2,-6.8,1.9,,,,229,27.8,,,975.4
2020-02-03,-2.9,-4.7,-0.5,,,,322,29.9,,,988.9
2020-02-04,-5.2,-6,-4,,,,265,21.9,,,991.2
2020-02-05,-6.1,-7.6,-5.1,,,,277,39.3,,,988.1
2020-02-06,-3.8,-6,-2.2,,,,327,29.3,,,1005.5
2020-02-07,0.4,-4.1,4.5,,,,228,28.1,,,1004.5
2020-02-08,3.7,2.1,4.8,,,,242,25.8,,,997.6
2020-02-09,0.9,-1.6,3.4,,,,192,9.3,,,980.5
2020-02-10,0,-1.4,0.8,,,,117,17.4,,,950.9
2020-02-11,1.1,0.1,2.3,,,,243,21.3,,,949.3
2020-02-12,0.8,-0.1,2,,,,234,32.1,,,967.7
2020-02-13,-0.2,-1.3,1.5,,,,230,30.5,,,985.2
2020-02-14,-2.5,-5.5,-1.3,,,,189,13.4,,,998.4
2020-02-15,-4.3,-6.4,-2.4,,,,179,15,,,999.5
2020-02-16,-5.2,-7.8,-1.2,,,,123,19.5,,,984.8
2020-02-17,0,-1.8,1.8,,,,243,17.9,,,961.6
2020-02-18,-1.5,-4.4,0.8,,,,210,29.4,,,975.9
2020-02-19,-4.6,-8.7,-1.3,,,,232,21.5,,,993.8
2020-02-20,-3.5,-6.4,-1.2,,,,195,25.4,,,993.8
2020-02-21,-0.3,-3.1,1.9,,,,188,26.7,,,974.3
2020-02-22,1.9,-0.1,3,,,,173,25.2,,,959.7
2020-02-23,-0.4,-2.5,2.1,,,,,6.7,,,962.4
2020-02-24,-1.7,-5,0.5,,,,274,28.8,,,982.2
2020-02-25,-3.6,-4.9,-2.3,,,,244,22.5,,,991.4
2020-02-26,-4.9,-6,-3.8,,,,205,7.5,,,990
2020-02-27,-1.9,-4.1,0.8,,,,202,13.5,,,990
2020-02-28,-5.3,-7.4,-1.8,,,,125,9.8,,,992.1
2020-02-29,-3.7,-6.4,-2.1,,,,257,14.7,,,992
2020-03-01,-4.1,-5.1,-2.8,,,,263,17.6,,,992.9
2020-03-02,-3,-5.2,-1.1,,,,246,20.6,,,997
2020-03-03,-2.5,-4.9,-0.5,,,,241,21.2,,,1016.5
2020-03-04,-4.7,-7.1,-3.4,,,,172,29,,,1019
2020-03-05,-5.2,-6.5,-4.3,,,,170,27.2,,,1002.1
2020-03-06,-2.6,-6,0.8,,,,165,12.2,,,988.5
2020-03-07,0.7,0,1.6,,,,247,15.2,,,997
2020-03-08,-0.8,-3.1,0.9,,,,162,16.8,,,992.5
